index,red1,ir1,red2,ir2
0,1610,1680,82659,82763
1,82861,82878,146913,137854
2,146421,137281,167635,143973
3,165210,142452,168148,144160
4,165477,142546,168511,144293
5,165713,142644,168797,144394
6,165908,142711,169031,144493
7,166068,142774,169238,144548
8,166205,142815,169483,144631
9,166325,142847,169712,144709
10,166449,142870,169877,144783
11,166575,142907,170035,144835
12,166722,142931,170078,144827
13,166771,142934,168470,144158
14,165999,142604,166382,143318
15,164555,142043,166205,143284
16,164167,141929,166271,143353
17,164251,141997,166349,143366
18,164354,142044,166496,143429
19,164480,142089,166843,143580
20,164799,142198,167105,143662
21,165023,142257,166892,143593
22,164995,142225,166889,143597
23,165040,142250,167055,143681
24,165208,142302,167403,143766
25,165439,142359,168076,143974
26,165797,142439,168264,144062
27,166049,142536,168498,144142
28,166150,142584,168652,144215
29,166269,142623,168631,144210
30,166309,142670,168927,144321
31,166341,142696,169179,144414
32,166356,142711,170823,144726
33,166428,142734,169474,144158
34,166563,142806,168906,143947
35,166657,142838,169023,144004
36,166685,142816,169223,144092
37,165813,142420,169406,144161
38,164845,142007,169778,144291
39,164570,141913,169957,144360
40,164647,141921,169766,144274
41,164800,141982,169691,144235
42,164950,142051,169809,144292
43,165300,142179,170033,144382
44,165498,142233,170238,144470
45,165515,142215,170419,144526
46,165573,142236,170596,144594
47,165795,142311,170734,144642
48,166021,142424,170795,144663
49,166226,142509,170889,144691
50,166385,142588,171036,144750
51,166480,142637,171214,144814
52,166585,142690,171378,144874
53,166643,142705,171118,144754
54,166768,142760,169844,144209
55,166903,142803,169055,143900
56,167063,142869,169107,143950
57,167251,142957,169336,144038
58,167372,143016,169490,144095
59,167219,142943,169806,144206
60,166192,142519,170016,144292
61,165598,142290,169887,144228
62,165654,142328,169813,144180
63,165800,142379,169953,144246
64,165951,142439,170258,144366
65,166286,142576,170569,144487
66,166533,142661,170823,144589
67,166415,142613,171016,144657
68,166336,142570,171149,144699
69,166429,142632,171231,144737
70,166631,142726,171233,144740
71,166853,142800,171265,144743
72,167043,142880,171411,144795
73,167177,142922,171592,144851
74,167264,142967,171669,144878
75,167311,142983,170872,144533
76,167388,143015,169476,143941
77,167466,143047,169157,143835
78,167566,143060,169348,143919
79,167575,143070,169527,143998
80,167071,142862,169670,144071
81,166073,142459,169958,144188
82,165952,142414,169987,144206
83,166131,142472,169813,144129
84,166296,142536,169781,144101
85,166598,142642,169938,144170
86,166905,142758,170168,144264
87,166831,142723,170344,144332
88,166701,142659,170466,144367
89,166764,142689,170554,144411
90,166969,142767,170628,144420
91,167193,142838,170721,144459
92,167332,142879,170781,144482
93,167435,142916,170859,144496
94,167517,142939,170996,144550
95,167562,142952,171236,144633
96,167614,142975,171381,144696
97,167676,142988,170869,144463
98,167774,143018,169462,143875
99,167854,143035,168930,143676
100,167668,142964,169031,143736
101,166696,142569,169210,143803
102,166180,142360,169304,143842
103,166303,142416,169558,143945
104,166480,142490,169713,144002
105,166640,142556,169579,143939
106,166965,142678,169517,143895
107,167124,142733,169630,143950
108,166972,142665,169850,144041
109,166885,142634,170066,144117
110,166993,142669,170219,144173
111,167193,142738,170396,144232
112,167358,142799,170517,144275
113,167485,142823,170611,144299
114,167568,142853,170740,144355
115,167647,142875,170806,144363
116,167684,142885,170927,144416
117,167720,142905,171113,144484
118,167784,142945,171334,144567
119,167889,143004,171395,144599
120,167978,143057,170654,144272
121,167822,143043,169137,143657
122,166919,142666,168710,143514
123,166262,142387,168838,143573
124,166344,142402,168991,143627
125,166544,142434,169055,143666
126,166697,142401,169305,143769
127,166959,142437,169360,143792
128,167149,142514,169151,143687
129,167054,142475,169078,143667
130,166931,142428,169172,143717
131,167022,142487,169331,143780
132,166866,142123,168447,143086
133,167012,142180,168529,143112
134,167122,142211,168601,143139
135,167208,142250,168681,143157
136,167269,142279,168769,143183
137,167311,142292,168935,143261
138,167367,142306,169151,143337
139,167428,142331,169295,143392
140,167521,142358,169107,143295
141,167607,142391,168005,142833
142,167721,142421,167213,142519
143,167820,142459,167066,142467
144,167733,142420,167114,142493
145,166739,142003,167133,142497
146,166041,141734,167254,142544
147,166038,141747,167497,142637
148,166198,141807,167442,142610
149,166284,141836,167325,142554
150,166417,141882,167393,142588
151,166613,141966,167576,142642
152,166556,141929,167781,142717
153,166449,141885,167931,142772
154,166509,141904,168024,142806
155,166649,141955,168079,142836
156,166825,142027,168128,142847
157,166956,142076,168185,142877
158,167081,142115,168248,142896
159,167162,142160,168327,142926
160,167222,142170,168381,142947
161,167257,142188,168479,142989
162,167313,142209,168644,143067
163,167372,142226,168819,143126
164,167468,142259,168786,143107
165,167594,142302,167951,142735
166,167711,142332,166983,142361
167,167804,142371,166647,142234
168,167579,142277,166671,142242
169,166444,141802,166663,142246
170,165956,141625,166679,142255
171,166022,141659,166939,142336
172,166183,141722,166993,142358
173,166237,141750,166846,142288
174,166416,141821,166862,142293
175,166574,141875,167021,142347
176,166451,141824,167202,142426
177,166376,141784,167379,142483
178,166449,141812,167518,142537
179,166612,141872,167618,142568
180,166778,141935,167691,142598
181,166926,141982,167774,142630
182,167020,142020,167862,142660
183,167100,142042,167969,142692
184,167167,142070,168066,142731
185,167222,142091,168195,142784
186,167301,142115,168374,142849
187,167385,142151,168551,142918
188,167510,142194,168623,142943
189,167641,142236,168121,142718
190,167766,142276,166968,142254
191,167809,142295,166417,142058
192,167244,142048,166336,142041
193,166157,141618,166350,142041
194,165906,141570,166331,142025
195,166029,141645,166522,142109
196,166119,141726,166711,142171
