index,red1,ir1,red2,ir2
227,165697,141870,175977,145530
228,165703,141872,175984,145532
229,165708,141863,176009,145533
230,165714,141865,176037,145546
231,165723,141851,176047,145552
232,165668,141562,175995,145322
233,165657,141554,176004,145322
234,165631,141544,176056,145341
235,165627,141524,176060,145338
236,165627,141525,175970,145307
237,165530,141506,175692,145213
238,165461,141502,175556,145149
239,165484,141514,175557,145157
240,165510,141537,175567,145157
241,165516,141533,175565,145160
242,165533,141537,175624,145178
243,165553,141524,175693,145193
244,165545,141518,175668,145188
245,165539,141501,175657,145195
246,165536,141506,175715,145204
247,165544,141499,175775,145225
248,165543,141492,175817,145239
249,165544,141496,175854,145248
250,165552,141489,175875,145264
251,165559,141484,175888,145272
252,165550,141481,175891,145264
253,165563,141476,175908,145267
254,165577,141481,175937,145263
255,165588,141466,175944,145268
256,165574,141462,175954,145270
257,165575,141471,175962,145265
258,165592,141462,175998,145279
259,165596,141446,176029,145286
260,165604,141451,175986,145267
261,165592,141449,175796,145198
262,165505,141429,175531,145095
263,165436,141410,175442,145052
264,165433,141400,175478,145073
265,165430,141415,175457,145058
266,165435,141422,175491,145074
267,165445,141410,175585,145108
268,165472,141407,175601,145116
269,165463,141406,175574,145093
270,165454,141401,175593,145114
271,165477,141391,175659,145148
272,165480,141378,175713,145159
273,165504,141382,175759,145181
274,165510,141380,175787,145184
275,165524,141371,175805,145193
276,165522,141367,175821,145193
277,165530,141367,175848,145206
278,165531,141370,175873,145207
279,165543,141368,175899,145212
280,165537,141351,175896,145201
281,165551,141360,175939,145212
282,165548,141359,175946,145218
283,165557,141354,175987,145230
284,165576,141354,175999,145228
285,165580,141342,175904,145199
286,165568,141337,175637,145095
287,165495,141317,175495,145044
288,165437,141296,175490,145043
289,165450,141312,175499,145036
290,165451,141370,175486,145035
291,165452,141373,175584,145076
292,165475,141390,175634,145084
293,165479,141395,175591,145077
294,165471,141407,175587,145074
295,165468,141401,175646,145095
296,165489,141386,175704,145117
297,165485,141386,175757,145121
298,165504,141395,175766,145133
299,165510,141387,175801,145141
300,165523,141388,175822,145136
301,165521,141394,175817,145135
302,165521,141407,175847,145142
303,165523,141397,175861,145152
304,165519,141395,175868,145154
305,165530,141401,175880,145155
306,165537,141407,175905,145152
307,165541,141409,175934,145167
308,165546,141400,175932,145162
309,165555,141398,175896,145143
310,165544,141399,175714,145073
311,165469,141379,175441,144972
312,165394,141375,175323,144935
313,165396,141379,175306,144932
314,165411,141378,175288,144918
315,165426,141383,175332,144934
316,165455,141376,175452,144970
317,165476,141384,175440,144972
318,165458,141384,175413,144959
319,165455,141387,175445,144978
320,165481,141378,175518,145004
321,165497,141370,175569,145020
322,165511,141379,175626,145040
323,165508,141377,175647,145056
324,165535,141377,175691,145059
325,165527,141385,175700,145067
326,165540,141371,175719,145070
327,165533,141378,175764,145093
328,165533,141380,175769,145091
329,165541,141384,175790,145088
330,165551,141385,175813,145096
331,165570,141376,175830,145107
332,165440,141182,175760,144918
333,165474,141160,175647,144874
334,165479,141160,175361,144790
335,165442,141157,175196,144723
336,165360,141123,175189,144721
337,165295,141093,175194,144722
338,165309,141114,175192,144721
339,165319,141112,175281,144750
340,165315,141105,175354,144771
341,165349,141116,175324,144764
342,165361,141121,175323,144765
343,165358,141114,175385,144787
344,165366,141110,175459,144815
345,165380,141105,175499,144829
346,165406,141102,175516,144832
347,165404,141093,175550,144840
348,165414,141085,175567,144854
349,165419,141087,175577,144845
350,165412,141079,175603,144858
351,165436,141071,175632,144865
352,165433,141070,175673,144869
353,165436,141068,175705,144878
354,165459,141081,175737,144891
355,165467,141082,175760,144896
356,165451,141066,175735,144883
357,165465,141071,175739,144873
358,165441,141068,175641,144835
359,165381,141045,175383,144748
360,165312,141044,175241,144702
361,165304,141044,175247,144699
362,165308,141041,175254,144695
363,165309,141039,175282,144707
364,165344,141036,175372,144744
365,165361,141040,175397,144763
366,165350,141036,175368,144738
367,165346,141034,175384,144743
368,165362,141043,175437,144763
369,165394,141032,175465,144767
370,165404,141039,175488,144775
371,165418,141038,175497,144767
372,165412,141034,175515,144778
373,165430,141044,175536,144771
374,165418,141044,175532,144775
375,165424,141046,175546,144781
376,165422,141051,175561,144774
377,165432,141071,175581,144775
378,165435,141084,175619,144787
379,165450,141089,175644,144797
380,165468,141084,175662,144788
381,165461,141062,175663,144793
382,165430,141044,175566,144759
383,165358,141001,175313,144664
384,165270,140971,175222,144636
385,165259,140956,175270,144658
386,165261,140964,175289,144665
387,165258,140973,175314,144678
388,165289,140971,175409,144717
389,165328,140994,175412,144715
390,165309,140997,175371,144701
391,165322,141014,175413,144714
392,165341,141016,175463,144730
393,165371,141008,175509,144745
394,165412,141025,175537,144766
395,165417,141035,175546,144763
396,165406,141019,175566,144760
397,165406,141007,175565,144753
398,165396,141001,175582,144750
399,165373,140982,175585,144758
400,165348,140973,175616,144769
401,165359,140973,175637,144772
402,165362,140971,175649,144776
403,165364,140969,175675,144794
404,165393,140986,175699,144799
405,165403,140988,175728,144803
406,165424,140980,175629,144763
407,165356,140972,175348,144671
408,165251,140947,175193,144616
409,165234,140950,175211,144620
410,165234,140939,175221,144616
411,165229,140952,175220,144613
412,165226,140954,175297,144637
413,165253,140950,175346,144657
414,165260,140955,175315,144633
415,165236,140955,175312,144639
416,165247,140947,175361,144649
417,165257,140944,175403,144673
418,165284,140943,175456,144698
419,165290,140943,175468,144695
420,165310,140942,175494,144698
421,165327,140941,175523,144701
422,165322,140946,175520,144690
423,165323,140939,175534,144693
424,165330,140941,175554,144699
425,165334,140932,175570,144710
426,165337,140916,175597,144720
427,165343,140923,175613,144722
428,165346,140914,175659,144739
429,165370,140916,175688,144750
430,165371,140901,175648,144729
431,165379,140897,175431,144647
432,165272,140666,175021,144317
433,165172,140643,175023,144320
434,165075,140615,175004,144307
435,165053,140618,175083,144333
436,165051,140610,175123,144347
437,165049,140621,175098,144340
438,165081,140624,175099,144334
439,165100,140629,175145,144354
440,165111,140626,175221,144375
441,165114,140624,175248,144390
442,165130,140622,175275,144398
443,165157,140617,175303,144401
444,165177,140601,175320,144411
445,165189,140614,175349,144419
446,165203,140621,175351,144419
447,165192,140608,175375,144424
448,165180,140606,175396,144427
449,165191,140616,175416,144424
450,165181,140620,175430,144426
451,165184,140616,175458,144441
452,165194,140617,175476,144439
453,165202,140625,175376,144403
454,165222,140613,175090,144310
455,165221,140605,174923,144250
456,165200,140598,174922,144246
457,165134,140588,174931,144241
458,165030,140552,174928,144240
459,165019,140561,175013,144267
460,165012,140556,175083,144291
461,165017,140554,175046,144276
462,165018,140557,175052,144278
463,165064,140557,175121,144304
464,165065,140548,175162,144319
465,165043,140558,175211,144340
466,165049,140546,175235,144343
467,165073,140544,175259,144348
468,165086,140545,175279,144353
469,165111,140545,175283,144341
470,165110,140546,175288,144348
471,165110,140545,175312,144352
